[begin_FlightDyn]
title   {t(s),v(m/s),¦È(deg),¦×(deg),¦Øx(rad/s),¦Øy(rad/s),¦Øz(rad/s),¦Õa(deg),¦Õ2(deg),¦Ã(deg),x(m),y(m),z(m)}
output
{0,800,0.872665,0,1600,0,0,0.872665,0,0,0,0,0;
0.85,767.059,49.608,0.0101568,1582.18,-0.00259197,-0.0116382,49.6159,0.0531345,77482.5,429.684,508.592,0.0575664;
0.855,766.874,49.6057,0.0102441,1582.08,-0.00211738,-0.0121408,49.6125,0.053815,77935.7,432.169,511.512,0.0582492;
0.86,766.688,49.6033,0.0103325,1581.98,-0.00144048,-0.0124344,49.609,0.0543277,78388.9,434.653,514.432,0.0589376;
0.865,766.502,49.6009,0.0104214,1581.88,-0.000707592,-0.0124395,49.6054,0.0546346,78842.1,437.138,517.351,0.0596318;
0.87,766.317,49.5986,0.0105106,1581.78,-8.35116e-005,-0.0121758,49.6019,0.0547436,79295.3,439.621,520.27,0.0603318;
0.875,766.132,49.5962,0.0105996,1581.68,0.000309262,-0.0117535,49.5984,0.054705,79748.4,442.104,523.187,0.0610375;
0.88,765.946,49.5938,0.0106882,1581.58,0.000435111,-0.0113322,49.5951,0.0545926,80201.5,444.587,526.104,0.0617491;
0.885,765.761,49.5915,0.0107763,1581.48,0.000357156,-0.0110606,49.5919,0.0544759,80654.6,447.069,529.019,0.0624664;
0.89,765.576,49.5891,0.010864,1581.38,0.000212237,-0.0110216,49.5888,0.0543948,81107.6,449.551,531.934,0.0631893;
0.895,765.391,49.5867,0.0109513,1581.28,0.000158614,-0.0112022,49.5856,0.0543455,81560.6,452.032,534.849,0.063918;
0.9,765.206,49.5843,0.0110383,1581.18,0.000316102,-0.0114992,49.5823,0.0542832,82013.6,454.513,537.762,0.0646523;
0.905,765.021,49.5819,0.0111249,1581.08,0.000721025,-0.0117586,49.579,0.05414,82466.6,456.993,540.675,0.0653922;
0.91,764.836,49.5795,0.0112108,1580.98,0.00131267,-0.0118342,49.5756,0.0538516,82919.5,459.473,543.586,0.0661377;
0.915,764.652,49.5772,0.0112957,1580.88,0.00195606,-0.0116423,49.5722,0.0533826,83372.4,461.952,546.497,0.0668887;
0.92,764.467,49.5748,0.0113792,1580.78,0.00249236,-0.0111926,49.569,0.0527411,83825.3,464.431,549.408,0.0676451;
0.925,764.283,49.5724,0.0114611,1580.68,0.00279773,-0.0105852,49.5658,0.0519771,84278.2,466.91,552.317,0.0684069;
0.93,764.098,49.57,0.0115411,1580.58,0.00282889,-0.00997233,49.5629,0.051165,84731,469.388,555.225,0.0691739;
0.935,763.914,49.5676,0.0116192,1580.48,0.00263819,-0.00950233,49.5601,0.0503782,85183.8,471.865,558.133,0.069946;
0.94,763.73,49.5652,0.0116956,1580.38,0.00235308,-0.00926469,49.5574,0.0496629,85636.5,474.342,561.04,0.070723;
